,concept,id,label_1,label_2,label_3,label_4,label_5,margin_error_dummy,race,type
19300,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_003M,Margin Of Error For!!Income in the past 12 months below poverty level,Under 5 years,,,,True,Black or African American Alone,int
19330,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_048E,Householder 45 to 64 years,"$75,000 to $99,999",,,,False,Black or African American Alone,int
19344,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_030M,Margin Of Error For!!Female,75 to 84 years,,,,True,Black or African American Alone,int
19364,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_004M,Margin of Error for!!Householder under 25 years,"$10,000 to $14,999",,,,True,Black or African American Alone,int
19475,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_001M,Margin Of Error For!!Total:,,,,,True,Black or African American Alone,int
19545,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_084E,Female,Other,With earnings,"$20,000 to $22,499",,False,Black or African American Alone,int
19550,B10051B.  GrndPrnts Living With Own GrndChldrn < 18 Yrs by Responsibility for Own GrndChldrn and Age of GrndPrnt (Black Alone),B10051B_007M,Margin Of Error For!!Grandparent not responsible for own grandchildren under 18 years,60 years and over,,,,True,Black or African American Alone,int
19613,B06004B.  Place of Birth (Black or African American Alone) in the United States,B06004B_002E,Born in state of residence,,,,,False,Black or African American Alone,int
19615,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_028M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Married-couple family,No related children under 18 years,,,True,Black or African American Alone,int
19634,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_022M,Margin Of Error For!!Female,18 and 19 years,,,,True,Black or African American Alone,int
19660,B11001B.  HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),B11001B_002E,Family households:,,,,,False,Black or African American Alone,int
19697,B25003B.  TENURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25003B_001E,Total:,,,,,False,Black or African American Alone,int
19727,C21001B.  Sex by Age by Veteran Status for the Civilian Pop 18 Years and Over (Black or African American Alone),C21001B_001E,Total:,,,,,False,Black or African American Alone,int
19800,B07004B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07004B_004E,Moved from different county within same state,,,,,False,Black or African American Alone,int
19815,B25032B.  UNITS IN STRUCTURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25032B_010E,Mobile home,,,,,False,Black or African American Alone,int
19853,B01002B.  MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),B01002B_003E,Median age --!!Female,,,,,False,Black or African American Alone,int
19881,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_032M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Male:,,,,True,Black or African American Alone,int
19885,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_032E,Householder 25 to 44 years,"$100,000 to $124,999",,,,False,Black or African American Alone,int
20042,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_017M,Margin of Error for!!Householder under 25 years,"$150,000 to $199,999",,,,True,Black or African American Alone,int
20055,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_036E,Householder 45 to 64 years:,,,,,False,Black or African American Alone,int
20158,B11002B.  HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),B11002B_012M,Margin Of Error For!!In nonfamily households,,,,,True,Black or African American Alone,int
20204,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_018M,Margin Of Error For!!Income in the past 12 months below poverty level,Other family,"Female householder, no husband present",With related children under 18 years,Under 5 years only,True,Black or African American Alone,int
20307,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_076E,Female,Other,With earnings,"$1 to $2,499 or loss",,False,Black or African American Alone,int
20322,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_028E,Income in the past 12 months at or above poverty level,Married-couple family,No related children under 18 years,,,False,Black or African American Alone,int
20338,B11001B.  HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),B11001B_005E,Family households,Other family,"Male householder, no wife present",,,False,Black or African American Alone,int
20405,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_031E,Male,Other,With earnings,"$5,000 to $7,499",,False,Black or African American Alone,int
20430,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_023M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Married-couple family:,,,,True,Black or African American Alone,int
20458,B25003B.  TENURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25003B_003M,Margin Of Error For!!Renter occupied,,,,,True,Black or African American Alone,int
20468,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_003E,Income in the past 12 months below poverty level,Under 5 years,,,,False,Black or African American Alone,int
20484,B12002B.  SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),B12002B_011M,Margin Of Error For!!Female,Separated,,,,True,Black or African American Alone,int
20486,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_009M,Margin Of Error For!!Income in the past 12 months below poverty level,75 years and over,,,,True,Black or African American Alone,int
20547,B19301B.  Per Capita Income (Black or African American Alone),B19301B_001M,Margin of Error for!!Per capita income in the past 12 months (in 2012 inflation-adjusted dollars),,,,,True,Black or African American Alone,int
20554,B07404B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07404B_001M,Margin Of Error For!!Total living in area 1 year ago:,,,,,True,Black or African American Alone,int
20563,C21001B.  Sex by Age by Veteran Status for the Civilian Pop 18 Years and Over (Black or African American Alone),C21001B_014E,Female,65 years and over,Veteran,,,False,Black or African American Alone,int
20580,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_010E,Male,"Worked full-time, year-round in the past 12 months",With earnings,"$10,000 to $12,499",,False,Black or African American Alone,int
20620,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_012M,Margin Of Error For!!Male,65 years and over,In labor force,Civilian,Employed,True,Black or African American Alone,int
20635,B19013B.  Median Household Income (Black or African American Alone Householder),B19013B_001E,Median household income in the past 12 months (in 2012 inflation-adjusted dollars),,,,,False,Black or African American Alone,int
20696,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_054M,Margin of Error for!!Householder 65 years and over,"Less than $10,000",,,,True,Black or African American Alone,int
20705,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_041M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Male,35 to 44 years,,,True,Black or African American Alone,int
20721,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_038E,Householder 45 to 64 years,"$10,000 to $14,999",,,,False,Black or African American Alone,int
20800,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_010E,Foreign born,Speak another language!!Speak English 'very well',,,,False,Black or African American Alone,int
20812,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_044M,Margin of Error for!!Householder 45 to 64 years,"$40,000 to $44,999",,,,True,Black or African American Alone,int
20844,C15002B.  Sex by Educational Attainment for the Population 25 Years and Over (Black or African American Alone),C15002B_004E,Male,"High school graduate, GED, or alternative",,,,False,Black or African American Alone,int
20850,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_002E,Male:,,,,,False,Black or African American Alone,int
20899,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_074M,Margin of Error for!!Female,Other,No earnings,,,True,Black or African American Alone,int
20980,B08105B.  MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),B08105B_002M,"Margin Of Error For!!Car, truck, or van - drove alone",,,,,True,Black or African American Alone,int
21019,B20017B.  Median Earnings by Sex by Work Exp. for the Pop. 16+ Yrs With Earnings (Black or African American Alone),B20017B_001M,Margin of Error for!!Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) --!!Total:,,,,,True,Black or African American Alone,int
21031,B19101B.  Family Income (Black or African American Alone Householder),B19101B_012E,"$60,000 to $74,999",,,,,False,Black or African American Alone,int
21052,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_003E,Native,Speak only English,,,,False,Black or African American Alone,int
21053,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_018E,Enrolled in school,Graduate or professional school,,,,False,Black or African American Alone,int
21243,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_073M,Margin of Error for!!Female,Other:,,,,True,Black or African American Alone,int
21294,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_001E,Total:,,,,,False,Black or African American Alone,int
21356,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_047M,Margin of Error for!!Householder 45 to 64 years,"$60,000 to $74,999",,,,True,Black or African American Alone,int
21371,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_030M,Margin of Error for!!Male,Other,With earnings,"$2,500 to $4,999",,True,Black or African American Alone,int
21430,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_047M,Margin of Error for!!Male,Other,With earnings,"$75,000 to $99,999",,True,Black or African American Alone,int
21451,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_017M,Margin Of Error For!!Female,16 to 64 years,In labor force:,,,True,Black or African American Alone,int
21516,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_002E,Householder under 25 years:,,,,,False,Black or African American Alone,int
21540,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_079E,Female,Other,With earnings,"$7,500 to $9,999",,False,Black or African American Alone,int
21594,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_027E,Male,Other,No earnings,,,False,Black or African American Alone,int
21640,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_005M,Margin Of Error For!!Male,16 to 64 years,In labor force,In Armed Forces,,True,Black or African American Alone,int
21691,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_056E,Female,"Worked full-time, year-round in the past 12 months",With earnings,"$7,500 to $9,999",,False,Black or African American Alone,int
21703,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_028M,Margin Of Error For!!Female,55 to 64 years,,,,True,Black or African American Alone,int
21735,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_020M,Margin of Error for!!Male,"Worked full-time, year-round in the past 12 months",With earnings,"$45,000 to $49,999",,True,Black or African American Alone,int
21773,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_005E,Male,Under 18 years,Foreign born:,,,False,Black or African American Alone,int
21808,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_020M,Margin Of Error For!!Income in the past 12 months below poverty level,Other family,"Female householder, no husband present",With related children under 18 years,5 to 17 years only,True,Black or African American Alone,int
21818,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_008E,Male,"Worked full-time, year-round in the past 12 months",With earnings,"$5,000 to $7,499",,False,Black or African American Alone,int
21821,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_037M,Margin of Error for!!Householder 45 to 64 years,"Less than $10,000",,,,True,Black or African American Alone,int
21858,B11001B.  HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),B11001B_005M,Margin Of Error For!!Family households,Other family,"Male householder, no wife present",,,True,Black or African American Alone,int
21870,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_009E,Householder under 25 years,"$35,000 to $39,999",,,,False,Black or African American Alone,int
21882,B18101B.  Age by Disability Status (Black or African American Alone),B18101B_007M,Margin of Error for!!18 to 64 years,No disability,,,,True,Black or African American Alone,int
21883,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_076M,Margin of Error for!!Female,Other,With earnings,"$1 to $2,499 or loss",,True,Black or African American Alone,int
21897,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_022M,Margin Of Error For!!Female,18 years and over,Foreign born,Naturalized U.S. citizen,,True,Black or African American Alone,int
21903,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_008E,Male,20 to 24 years,,,,False,Black or African American Alone,int
21909,B11001B.  HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),B11001B_008M,Margin Of Error For!!Nonfamily households,Householder living alone,,,,True,Black or African American Alone,int
21931,B19101B.  Family Income (Black or African American Alone Householder),B19101B_011E,"$50,000 to $59,999",,,,,False,Black or African American Alone,int
21934,B12007B.  Median Age At First Marriage (Black or Africian American Alone),B12007B_002E,Median age at first marriage --!!Female,,,,,False,Black or African American Alone,int
21953,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_012E,Male,45 to 54 years,,,,False,Black or African American Alone,int
22028,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_030E,Female,75 to 84 years,,,,False,Black or African American Alone,int
22073,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_016E,Female,Under 18 years,Foreign born:,,,False,Black or African American Alone,int
22080,B19101B.  Family Income (Black or African American Alone Householder),B19101B_013E,"$75,000 to $99,999",,,,,False,Black or African American Alone,int
22094,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_006E,Native,Speak another language!!Speak English 'less than well',,,,False,Black or African American Alone,int
22101,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_023M,Margin Of Error For!!Female,18 years and over,Foreign born,Not a U.S. citizen,,True,Black or African American Alone,int
22116,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_031E,Income in the past 12 months at or above poverty level,Other family,"Male householder, no wife present",With related children under 18 years:,,False,Black or African American Alone,int
22176,C21001B.  Sex by Age by Veteran Status for the Civilian Pop 18 Years and Over (Black or African American Alone),C21001B_009M,Margin Of Error For!!Female:,,,,,True,Black or African American Alone,int
22234,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_012M,Margin of Error for!!Male,"Worked full-time, year-round in the past 12 months",With earnings,"$15,000 to $17,499",,True,Black or African American Alone,int
22253,B08505B.  MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE),B08505B_004M,Margin Of Error For!!Public transportation (excluding taxicab),,,,,True,Black or African American Alone,int
22276,B25014B.  OCCUPANTS PER ROOM (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25014B_002E,1.00 or less occupants per room,,,,,False,Black or African American Alone,int
22277,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_010M,Margin Of Error For!!Income in the past 12 months at or above poverty level:,,,,,True,Black or African American Alone,int
22293,B11001B.  HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),B11001B_006M,Margin Of Error For!!Family households,Other family,"Female householder, no husband present",,,True,Black or African American Alone,int
22317,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_041E,Householder 45 to 64 years,"$25,000 to $29,999",,,,False,Black or African American Alone,int
22320,B25032B.  UNITS IN STRUCTURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25032B_005M,Margin Of Error For!!3 or 4,,,,,True,Black or African American Alone,int
22345,B12002B.  SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),B12002B_002M,Margin Of Error For!!Male:,,,,,True,Black or African American Alone,int
22390,B12007B.  Median Age At First Marriage (Black or Africian American Alone),B12007B_002M,Margin Of Error For!!Median age at first marriage --!!Female,,,,,True,Black or African American Alone,int
22397,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_027E,Income in the past 12 months at or above poverty level,Married-couple family,With related children under 18 years,5 to 17 years only,,False,Black or African American Alone,int
22399,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_036M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Other family,"Female householder, no husband present:",,,True,Black or African American Alone,int
22418,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_008M,Margin Of Error For!!Male,20 to 24 years,,,,True,Black or African American Alone,int
22419,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_005M,Margin Of Error For!!Male,10 to 14 years,,,,True,Black or African American Alone,int
22420,B07004B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07004B_005M,Margin Of Error For!!Moved from different state,,,,,True,Black or African American Alone,int
22465,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_013M,Margin Of Error For!!Male,65 years and over,In labor force,Civilian,Unemployed,True,Black or African American Alone,int
22490,C27001B.  Health Insurance Coverage Status by Age (Black or African American Alone),C27001B_007E,18 to 64 years,No health insurance coverage,,,,False,Black or African American Alone,int
22493,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_064M,Margin of Error for!!Female,"Worked full-time, year-round in the past 12 months",With earnings,"$30,000 to $34,999",,True,Black or African American Alone,int
22495,B19101B.  Family Income (Black or African American Alone Householder),B19101B_005M,"Margin of Error for!!$20,000 to $24,999",,,,,True,Black or African American Alone,int
22514,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_009E,Enrolled in school,Enrolled in grade 5,,,,False,Black or African American Alone,int
22547,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_001M,Margin of Error for!!Total:,,,,,True,Black or African American Alone,int
22560,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_011E,Householder under 25 years,"$45,000 to $49,999",,,,False,Black or African American Alone,int
22642,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_007E,Male,16 to 64 years,In labor force,Civilian,Employed,False,Black or African American Alone,int
22652,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_025M,Margin Of Error For!!Female,65 years and over,In labor force,Civilian,Employed,True,Black or African American Alone,int
22695,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_030E,Male,Other,With earnings,"$2,500 to $4,999",,False,Black or African American Alone,int
22711,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_030E,Householder 25 to 44 years,"$60,000 to $74,999",,,,False,Black or African American Alone,int
22726,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_028E,Female,55 to 64 years,,,,False,Black or African American Alone,int
22764,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_021E,Female,15 to 17 years,,,,False,Black or African American Alone,int
22806,B19101B.  Family Income (Black or African American Alone Householder),B19101B_004M,"Margin of Error for!!$15,000 to $19,999",,,,,True,Black or African American Alone,int
22873,B22005B.  Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (Black or African American Alone),B22005B_003E,Household did not receive Food Stamps/SNAP in the past 12 months,,,,,False,Black or African American Alone,int
22895,B08505B.  MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE),B08505B_006E,"Taxicab, motorcycle, bicycle, or other means",,,,,False,Black or African American Alone,int
22898,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_003M,Margin Of Error For!!Male,Under 18 years:,,,,True,Black or African American Alone,int
22965,B18101B.  Age by Disability Status (Black or African American Alone),B18101B_008M,Margin of Error for!!65 years and over:,,,,,True,Black or African American Alone,int
22968,B19001B.  Household Income (Black or African American Alone Householder),B19001B_005E,"$20,000 to $24,999",,,,,False,Black or African American Alone,int
22977,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_039E,Householder 45 to 64 years,"$15,000 to $19,999",,,,False,Black or African American Alone,int
23039,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_053E,Income in the past 12 months at or above poverty level,Female,18 to 24 years,,,False,Black or African American Alone,int
23060,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_046M,Margin of Error for!!Male,Other,With earnings,"$65,000 to $74,999",,True,Black or African American Alone,int
23137,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_038M,Margin of Error for!!Male,Other,With earnings,"$22,500 to $24,999",,True,Black or African American Alone,int
23138,B12007B.  Median Age At First Marriage (Black or Africian American Alone),B12007B_001M,Margin Of Error For!!Median age at first marriage --!!Male,,,,,True,Black or African American Alone,int
23209,B25032B.  UNITS IN STRUCTURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25032B_004M,Margin Of Error For!!2,,,,,True,Black or African American Alone,int
23218,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_024M,Margin of Error for!!Male,"Worked full-time, year-round in the past 12 months",With earnings,"$75,000 to $99,999",,True,Black or African American Alone,int
23249,B19001B.  Household Income (Black or African American Alone Householder),B19001B_010M,"Margin of Error for!!$45,000 to $49,999",,,,,True,Black or African American Alone,int
23266,B25032B.  UNITS IN STRUCTURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25032B_011M,"Margin Of Error For!!Boat, RV, van, etc.",,,,,True,Black or African American Alone,int
23288,B12002B.  SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),B12002B_010E,Female,Now married (except separated),,,,False,Black or African American Alone,int
23316,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_024E,Income in the past 12 months at or above poverty level,Married-couple family,With related children under 18 years:,,,False,Black or African American Alone,int
23331,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_054M,Margin of Error for!!Female,"Worked full-time, year-round in the past 12 months",With earnings,"$2,500 to $4,999",,True,Black or African American Alone,int
23336,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_073E,Female,Other:,,,,False,Black or African American Alone,int
23344,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_089E,Female,Other,With earnings,"$40,000 to $44,999",,False,Black or African American Alone,int
23391,B19001B.  Household Income (Black or African American Alone Householder),B19001B_005M,"Margin of Error for!!$20,000 to $24,999",,,,,True,Black or African American Alone,int
23491,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_005M,Margin Of Error For!!Income in the past 12 months below poverty level,Married-couple family,With related children under 18 years,Under 5 years only,,True,Black or African American Alone,int
23493,B19101B.  Family Income (Black or African American Alone Householder),B19101B_001E,Total:,,,,,False,Black or African American Alone,int
23596,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_024E,Female,65 years and over,In labor force:,,,False,Black or African American Alone,int
23661,C24010B.  Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),C24010B_001E,Total:,,,,,False,Black or African American Alone,int
23716,B08505B.  MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE),B08505B_001E,Total:,,,,,False,Black or African American Alone,int
23720,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_040M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Male,25 to 34 years,,,True,Black or African American Alone,int
23732,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_011E,Male,65 years and over,In labor force:,,,False,Black or African American Alone,int
23778,B11002B.  HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),B11002B_006E,In family households,"In male householder, no wife present, family:",,,,False,Black or African American Alone,int
23801,C15002B.  Sex by Educational Attainment for the Population 25 Years and Over (Black or African American Alone),C15002B_006M,Margin Of Error For!!Male,Bachelor's degree or higher,,,,True,Black or African American Alone,int
23814,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_020E,Female,18 years and over,Native,,,False,Black or African American Alone,int
23819,C21001B.  Sex by Age by Veteran Status for the Civilian Pop 18 Years and Over (Black or African American Alone),C21001B_005M,Margin Of Error For!!Male,18 to 64 years,Nonveteran,,,True,Black or African American Alone,int
23856,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_004M,Margin Of Error For!!Income in the past 12 months below poverty level,Male,Under 5 years,,,True,Black or African American Alone,int
23931,B13002B.  Women 15 to 50 Years Who Had A Birth in the Past 12 Months by Marital Status (Black or African American Alone),B13002B_006E,Women who did not have a birth in the past 12 months,Now married (including separated and spouse absent),,,,False,Black or African American Alone,int
23945,B07404B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07404B_005M,Margin Of Error For!!Moved to different state,,,,,True,Black or African American Alone,int
24065,B11002B.  HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),B11002B_005E,In family households,In married-couple family,Nonrelatives,,,False,Black or African American Alone,int
24128,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_093E,Female,Other,With earnings,"$65,000 to $74,999",,False,Black or African American Alone,int
24200,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_051E,Income in the past 12 months at or above poverty level,Female,15 years,,,False,Black or African American Alone,int
